,OBJECTID,NAME,ALTNAME,BLOCK,Location_n,Fromstreet,ToStreet,TOTALANES,DIRECT1,SIDEWLK1,WIDTH_C_C,WIDTHAPPRO,ROW_WIDTH,StateRte,FCLASS2014,STATERESP,OWNERSHIP,lengthinv,SURFACETXT,SHOULDTEXT,RESPONSERO,OWNTYPE,MGTRESPONB,STATEROUTE,DeedyrBkPg,SID,RINNUM,SHAPE__Len,geometry,slope,slope_below5,slope_5_10,slope_10_15,slope_above15,slope_category
194,192,CODDINGTON RD,,100,100 Blk Coddington Rd.,HUDSON ST,CITY LINE WEST,2,Two-way,No sidewalks adjacent to the street,25.0,25.0,50.0,NO,Local Road,NONE,CITY ST,1585.83203658835,Asphalt,Vegetation,FIRE,CITYST,CITY-ALL,NO,"Dec. 1962, City R/W by annexation",4,231.0,654.233307580595,"LINESTRING (-76.4911732751576 42.42912358876917, -76.49119476116542 42.42914921944015, -76.4915115050127 42.4292801613405, -76.49189389518017 42.429482330281985, -76.49195173428558 42.42950861730645, -76.49200680827789 42.429525982874495, -76.49208988978846 42.42954731580526, -76.49217529290844 42.429564191359795, -76.49246697416902 42.4295784864428, -76.49267349103633 42.429571275634416, -76.49287027781466 42.42956868609393, -76.49311221685409 42.42956098837383, -76.49322195416966 42.429559702636986, -76.4935139000905 42.42955135554122, -76.49368429545682 42.42954908873525, -76.49375837984716 42.4295481167098, -76.49386094607775 42.4295423664959, -76.49393040149076 42.429541390746316, -76.49403088472195 42.42953563785552, -76.494097567123 42.42953020248299, -76.49416286021713 42.42952493614676, -76.49422653358708 42.429519497458294, -76.49427567390538 42.42951463893894, -76.49427816677664 42.42951439239412, -76.49438722316302 42.42950384367609, -76.4944513592674 42.429498577178066, -76.49451411163153 42.429488677553294, -76.49457200894433 42.42947448782966, -76.49462967533108 42.42946029699769, -76.49468710981658 42.42944593490136, -76.49474339337677 42.42942728468093, -76.4948566533431 42.42938981183514, -76.49491803673959 42.429366362389715, -76.49497941863238 42.42934308576694, -76.49504126471298 42.429319808568344, -76.49508875074399 42.42930115050153, -76.49525390698885 42.42923593318793, -76.4952539945321 42.42923590174487, -76.49545843359995 42.42916131342845, -76.49550730843247 42.429142657152504, -76.49558930782796 42.42910996180195, -76.49567222671523 42.42908189821441, -76.49575584710357 42.42904920488413, -76.49588903447422 42.42899802573759, -76.49593304801323 42.42897936467106, -76.49602268609492 42.42894667573331, -76.49607179149416 42.42892801849126, -76.49616953895361 42.42889087554806, -76.49621771945317 42.42887221844038, -76.49626589871022 42.4288535604112, -76.49631407793744 42.42883490326192, -76.49636225713733 42.42881624519206, -76.49641043630741 42.4287975880021, -76.49645862160752 42.428774470733515, -76.49661900155682 42.42871628273465)",31.597009192728187,0,0,0,1,4
195,193,STONE QUARRY RD,,100,100 Blk Stone Quarry Rd.,CITY LINE,SPENCER RD,2,Two-way,No sidewalks adjacent to the street,21.0,21.0,0.0,NO,Collector,NONE,CITY ST,989.683412106939,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,,4,232.0,409.118998725978,"LINESTRING (-76.50771702889952 42.42528327444955, -76.50764770031729 42.425408182564155, -76.5074214487228 42.42566786555007, -76.50714589059618 42.42592374217966, -76.50706710425169 42.425987833165266, -76.50702562153822 42.42602433596144, -76.5069419687118 42.42609288368557, -76.5069055896151 42.4261204715087, -76.5068237816596 42.426193650596296, -76.50676606191023 42.42625741241714, -76.50673360241454 42.426298381197164, -76.50669603886291 42.42634843594119, -76.50653344810553 42.42660267146897, -76.5063595129654 42.426857070194124, -76.50620974115616 42.42703911013918, -76.50592186289978 42.42732670369068, -76.50572990462719 42.42754987601003)",18.851488159464452,0,0,0,1,4
196,194,ELMIRA RD,,200,200 Blk Elmira Rd.,S MEADOW ST,S MEADOW ST,2,Two-way,Sidewalks adjacent to both sides of the street,46.0,46.0,0.0,NO,Minor Arterial,NONE,CITY ST,92.6246008080224,Asphalt,"Curbed, Granite",FIRE,CITYST,CITY-ALL,NO,,4,233.0,38.1989166056516,"LINESTRING (-76.50816704069892 42.428427383862314, -76.5078318472325 42.42837316837363)",1.9797969758801048,1,0,0,0,1
197,195,S MEADOW ST,,800,800 Blk S Meadow St.,SPENCER RD,ELMIRA RD,2,Two-way,Sidewalks adjacent to the west side of the street and partial,25.0,25.0,66.0,NO,Local Road,NONE,CITY ST,705.797059858951,Asphalt,,NO,CITYST,CITY-ALL,NO,Annex. Area. Title in Town of Ithaca,4,234.0,292.088046086054,"LINESTRING (-76.50770641940902 42.42643863324978, -76.50776629239121 42.42727991257745, -76.5078318472325 42.42837316837363)",13.484218375020179,0,0,1,0,3
198,196,ELMIRA RD,NYS ROUTE 13/34/96,300,300 Blk Elmira Rd.,SPENCER RD,SOUTHWEST PARK RD,5,Two-way,Sidewalks adjacent to both sides of the street,60.0,60.0,0.0,YES,Principal Arterial,NONE,CITY ST,2303.27351572552,Asphalt,"Curbed, Granite",FIRE,CITYST,NYSRteCityPaves,YES,Acquired by the State,4,235.0,951.577045560764,"LINESTRING (-76.5194420317062 42.420107362331294, -76.51903512827978 42.4204488127355, -76.51877681137272 42.42066390868552, -76.51713005086182 42.42201410034459, -76.5148050534103 42.42391800318241, -76.51427419063049 42.424393273221824, -76.51376119910057 42.42481881385846, -76.5137591436422 42.42482044394731)",12.078134740215564,0,0,1,0,3
199,197,COMMERCIAL AVE,,100-200,100-200 Blk Commercial Ave.,ELMIRA RD,END,2,Two-way,Sidewalks adjacent to the north side of the street only and partial,24.0,24.0,50.0,NO,Local Road,NONE,CITY ST,892.571711209067,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,1966 BKPG 493-193,4,236.0,368.16380612493,"LINESTRING (-76.5148050534103 42.42391800318241, -76.51513307599494 42.42412983860238, -76.51542761148082 42.424269962670444, -76.51640736086428 42.424265457560736, -76.51693940539192 42.42426048669549, -76.51732142883048 42.42426452906672, -76.51739635534254 42.42425146747713, -76.51759333578418 42.42418851936668, -76.51772135642604 42.424189528116365, -76.5178643164824 42.42422545783721, -76.51791130741799 42.42424852143932)",27.134710229251795,0,0,0,1,4
200,198,ELMIRA RD,,200,200 Blk Elmira Rd.,S MEADOW ST,S PLAIN ST,2,Two-way,Sidewalks adjacent to both sides of the street,36.0,36.0,0.0,NO,Minor Arterial,NONE,CITY ST,1446.58829758475,Asphalt,"Curbed, Granite",FIRE,CITYST,CITY-ALL,NO,NYS owned,4,238.0,597.236823667186,"LINESTRING (-76.5078318472325 42.42837316837363, -76.50768598625007 42.42838279090389, -76.50751627806414 42.428426955317896, -76.50732446359663 42.42853299112949, -76.50725102556264 42.42857444693057, -76.50704855530662 42.428685106324274, -76.50697419609297 42.42872227322716, -76.50686300017084 42.428782226297876, -76.50663550345917 42.42891121898029, -76.50645387679474 42.429012629022395, -76.50628152765736 42.42910049646733, -76.50604337333434 42.42923428297815, -76.50581981954548 42.42935418640836, -76.5056722398465 42.42944172666481, -76.50559857978168 42.42947426292551, -76.50521053231225 42.429690954974355, -76.50474093283414 42.42995372454425, -76.5043644652233 42.43016133226891, -76.50348270450232 42.430654660252706)",17.060432885808076,0,0,0,1,4
201,199,HYERS ST,,100,100 Blk Hyers St.,S ALBANY ST,S PLAIN ST,2,Two-way,Sidewalks adjacent to both sides of the street and north side partial,24.0,24.0,48.0,NO,Local Road,NONE,CITY ST,594.120038820882,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1932 BKPG 227-426,4,239.0,244.999080885391,"LINESTRING (-76.5014259048438 42.433523027544275, -76.50240436055657 42.43349662451323, -76.50362500582006 42.43345820440093)",0.019000807108164118,1,0,0,0,1
202,200,WOOD ST,,200,200 Blk Wood St.,S ALBANY ST,S PLAIN ST,2,Two-way,Sidewalks adjacent to both sides of the street,26.1,26.1,66.0,NO,Local Road,NONE,CITY ST,594.28673059825,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1932 BKPG 227-425,4,240.0,245.064946637266,"LINESTRING (-76.50139013396513 42.43282104045665, -76.50139046941626 42.43282102629173, -76.50148122729942 42.432819890137495, -76.50234043706986 42.43279511750258, -76.50307947826485 42.43277642858394, -76.5034902165833 42.43276196586901, -76.50359000449008 42.43276066327824)",0.8965950711100474,1,0,0,0,1
203,201,WOOD ST,,300,300 Blk Wood St.,S PLAIN ST,FAIR ST,2,Two-way,Sidewalks adjacent to the north side of the street only,28.0,28.0,66.0,NO,Local Road,NONE,CITY ST,593.102756898596,Asphalt,,NO,CITYST,CITY-ALL,NO,1933 BKPG 233-476,4,241.0,244.576996970781,"LINESTRING (-76.50359000449008 42.43276066327824, -76.50369487899441 42.43276382329406, -76.50426560149859 42.43274723880172, -76.50514935639362 42.43271765986724, -76.50543506928338 42.432704820806954, -76.50566127505095 42.43269742802689, -76.5057848691471 42.43269581014513)",0.39747007229692316,1,0,0,0,1
204,202,WOOD ST,,400,400 Blk Wood St.,FAIR ST,S MEADOW ST,2,Two-way,Sidewalks adjacent to both sides of the street,32.0,32.0,66.0,NO,Local Road,NONE,CITY ST,610.203840963593,Asphalt,,NO,CITYST,CITY-ALL,NO,1933 BKPG 233-476,4,242.0,251.628312476961,"LINESTRING (-76.5057848691471 42.43269581014513, -76.50578583535284 42.43269579729427, -76.50587589902639 42.43269465719102, -76.506622346897 42.4326757784787, -76.50716574657373 42.43265967712885, -76.50724801822074 42.43265690213682, -76.50724806197488 42.4326569003653, -76.50804347937357 42.4326300709796)",2.474612072302006,1,0,0,0,1
205,203,PARK ST,,100,100 Blk Park St.,ELMIRA CIRCLE,S PLAIN ST,2,Two-way,Sidewalks adjacent to both sides of the street,24.1,24.1,48.0,NO,Local Road,NONE,CITY ST,512.669510185916,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1932 BKPG 227-425,4,244.0,211.414252948266,"LINESTRING (-76.50165324941679 42.43177072558487, -76.50167456813953 42.431779413313194, -76.50171652781331 42.431796513685335, -76.50183374700096 42.43181562841422, -76.50194834501377 42.431818624984366, -76.50236995826626 42.43180400294417, -76.50353939379505 42.431775151893845)",4.552368841250728,1,0,0,0,1
206,204,WOOD ST,,100,100 Blk Wood St.,S GENEVA ST,S ALBANY ST,2,Two-way,Sidewalks adjacent to both sides of the street,26.1,26.1,66.0,NO,Local Road,NONE,CITY ST,220.98167288376,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1932 BKPG 227-425,4,245.0,91.1270864307094,"LINESTRING (-76.50057361688116 42.43285422574369, -76.50064077114675 42.4328443268494, -76.50071393323007 42.43284335146522, -76.50079681920819 42.432842381235204, -76.50101237602264 42.43283498996157, -76.50107998158036 42.43283400945304, -76.50139013396513 42.43282104045665)",12.320479688444692,0,0,1,0,3
207,205,FAIR ST,,200,200 Blk Fair St.,WOOD ST,SOUTH ST,2,Two-way,Sidewalks adjacent to both sides of the street,33.9,33.9,66.0,NO,Local Road,NONE,CITY ST,404.38962818538,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1933 BKPG 233-476,4,246.0,167.369058588689,"LINESTRING (-76.50578583535284 42.43269579729427, -76.50580143929017 42.43299731564026, -76.50581977626653 42.43333468104639, -76.50584128922894 42.433726245408586, -76.50584352977278 42.43380464727303)",1.1459746625949838,1,0,0,0,1
208,206,CHERRY ST,,200,200 Blk Cherry St.,CECIL A MALONE DR,END,2,Two-way,Short section of sidewalk adjacent to the east side of the street only,32.0,32.0,0.0,NO,Local Road,NONE,CITY ST,1216.33540871976,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,,4,247.0,503.054000186894,"LINESTRING (-76.51779967877899 42.43339738052571, -76.5174895319202 42.43374810522864, -76.51687363790622 42.434440807341254, -76.51636504962545 42.43501934574971, -76.51624497161094 42.435155966330804, -76.51617402146707 42.43525145411842, -76.51611579038745 42.43536032679223, -76.51607423569287 42.435464406150054, -76.51606675425289 42.43553214710508, -76.51604480225569 42.43570792838211, -76.51602446530082 42.43588834081113, -76.51599595760547 42.436131862655834, -76.51598868764552 42.436217612306535, -76.51596746419773 42.43636183686507)",1.0614734267609358,1,0,0,0,1
209,207,CHERRY ST,,100,100 Blk Cherry St.,CECIL A MALONE DR,TABER ST,2,Two-way,No sidewalks adjacent to the street,32.0,32.0,48.0,NO,Local Road,NONE,CITY ST,939.955659361738,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,Unknown,5,248.0,388.996386271151,"LINESTRING (-76.51596746419773 42.43636183686507, -76.51594467203671 42.43645683781224, -76.51591859989823 42.436587681134625, -76.51589930924153 42.43665541512, -76.51583889157968 42.4368589576646, -76.51582193187537 42.43691314448061, -76.51572596164999 42.43723414718118, -76.51571061692619 42.43729296424143, -76.51524141870755 42.43888409458243)",0.7450377065762344,1,0,0,0,1
210,208,TABER ST,,800-900,800-900 Blk Taber St.,BRINDLEY ST,CHERRY ST,2,Two-way,No sidewalks adjacent to the street,32.0,32.0,0.0,NO,Local Road,NONE,CITY ST,526.437595164072,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,,5,249.0,217.183163126508,"LINESTRING (-76.5133903696122 42.43854374042632, -76.51356313274282 42.43851451863521, -76.51363051309578 42.43851370164533, -76.51371224823035 42.43851255032299, -76.51379351637254 42.43851602977042, -76.51385487169884 42.438519669049214, -76.51392177791128 42.43852776991129, -76.5140141453709 42.438544634288455, -76.51408174195561 42.43855719462983, -76.51416784725238 42.43858314356582, -76.51425163738118 42.43860892088634, -76.5143516257868 42.438643625304024, -76.5144631865628 42.43868279574255, -76.51457728549724 42.43873071394862, -76.51467449575829 42.43876541641765, -76.51472171653377 42.43877830808777, -76.51477611091805 42.43879566228351, -76.51487355839434 42.43882590557025, -76.51492217336717 42.43883433883523, -76.51500180604727 42.43885119391494, -76.5150786649 42.438863760088815, -76.51514024674269 42.438871857068946, -76.51524141870755 42.43888409458243)",0.1891917639292305,1,0,0,0,1
211,209,BRINDLEY ST,,100,100 Blk Brindley St.,W STATE ST,CAYUGA INLET BRIDGE,2,Two-way,No sidewalks adjacent to the street,21.0,21.0,66.0,NO,Local Road,NONE,CITY ST,217.074233233458,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,Unknown,5,250.0,89.7893489156058,"LINESTRING (-76.5133525001763 42.439468763723525, -76.51336126222293 42.439732261612825, -76.51336273971604 42.43986054895218, -76.51335318849223 42.43991302393637, -76.513302892828 42.43995724175095, -76.5131796892479 42.43997534604712)",0.17611221474515565,1,0,0,0,1
212,210,W STATE ST/ M. L. K. JR ST,MARTIN LUTHER KING JR ST/79,1000,1000 Blk W State St.,FLOOD CONTROL CHANNEL BRG,W SENECA ST,4,Two-way,Sidewalks adjacent to both sides of the street,50.0,50.0,0.0,YES,Minor Arterial,,CITY ST,423.387489313194,Asphalt,"Curbed, Granite",FIRE,CITYST,NYSRteCityPaves,YES,1967 (State annex flood control),5,251.0,174.857548289448,"LINESTRING (-76.5131796892479 42.43997534604712, -76.51351825973599 42.4401415713814, -76.51384872113432 42.44031327808512, -76.51403382689149 42.44043550234855, -76.5140807918919 42.44047086094879, -76.51424460897262 42.44058123854801, -76.5143376240916 42.440643208652844, -76.51440935142661 42.440691787523235)",0.4339860080748192,1,0,0,0,1
213,211,TAUGHANNOCK BLVD,OLD TAUGHANNOCK BLVD/89,300,300 Blk Taughannock Blvd.,W BUFFALO ST,OLD TAUGHANNOCK BLVD,3,Two-way,Sidewalks adjacent to both sides of the street,42.0,42.0,0.0,YES,Collector,MILLPAVE,NYS DOT,671.48456027855,Asphalt,"Curbed, Granite",FIRE,DOT,NYSMillPveCityReprs,YES,,5,252.0,277.896174317084,"LINESTRING (-76.51249534895963 42.440899515827944, -76.51250859929154 42.44105902449919, -76.51254535334199 42.44132042307851, -76.51256362902045 42.44154236297539, -76.51258391116245 42.44183170635696, -76.51259119993816 42.44193924548556, -76.51260773686855 42.442059309795866, -76.51264119693113 42.44216257786465, -76.51270560677527 42.44233498050479, -76.5127562067676 42.44243431400938, -76.51286949350714 42.44259148396142, -76.51294240018737 42.44268747209513)",0.28492243818394253,1,0,0,0,1
214,212,TAUGHANNOCK BLVD,NYS STATE ROUTE 89,,Taughannock Blvd. Rte 89 bridge,CAYUGA INLET,CAYUGA INLET,2,Two-way,Sidewalks adjacent to both sides of the street,0.0,0.0,0.0,YES,Collector,MILLPAVE,NYS DOT,440.950677961224,,,FIRE,DOTBRG,NYSMillPveCityReprs,YES,,5,255.0,182.387612595124,"LINESTRING (-76.51347637647173 42.443166355850785, -76.51387177395922 42.44354530439476, -76.51391712640716 42.44360317479299, -76.51398646298844 42.4437006095559, -76.51408131093666 42.443872690376324, -76.5141207291776 42.44398165143159, -76.51414769398725 42.44406429929651, -76.5141803904851 42.44423290967925)",0.7176870283369363,1,0,0,0,1
215,213,TAUGHANNOCK BLVD,NYS STATE ROUTE 89,West of OldT,300 Blk Taughannock Blvd. Rte 89,OLD TAUGHANNOCK BLVD,BRIDGE,2,Two-way,Sidewalks adjacent to both sides of the street,27.0,27.0,0.0,YES,Collector,MILLPAVE,NYS DOT,226.33907847281,Asphalt,"Curbed, Granite",FIRE,DOT,NYSMillPveCityReprs,YES,,5,256.0,93.5534318332756,"LINESTRING (-76.51294240018737 42.44268747209513, -76.51303693754839 42.442773554017826, -76.51314432163554 42.44286876549794, -76.51318961292922 42.442910681158715, -76.51347637647173 42.443166355850785)",0.1392370756555255,1,0,0,0,1
216,214,TAUGHANNOCK BLVD,OLD TAUGHANNOCK BLVD,400-500,400-500 Blk Taughnnock Blvd.,RTE 89,END,2,Two-way,Short section of sidewalk adjacent to both sides of the street,22.0,22.0,0.0,NO,Local Road,NONE,CITY ST,1096.73205956859,Asphalt,,NO,CITYST,CITY-ALL,NO,,5,257.0,453.881964936575,"LINESTRING (-76.51294240018737 42.44268747209513, -76.51265939253827 42.44285645944259, -76.51258632290738 42.4429325341532, -76.51254832012756 42.44299553571201, -76.51253135402875 42.443134536789714, -76.51254930854297 42.444335477501895, -76.51254889204196 42.44475946656526, -76.51254553516064 42.4449512115559, -76.51254337733268 42.4450744720094, -76.51253315614588 42.44557273901382)",0.3453604264148475,1,0,0,0,1
217,215,ELM ST,,100-200,100-200 Blk Elm St.,CHESTNUT ST,APTS DRIVEWAY,2,Two-way,Sidewalks adjacent to the east side of the street only,28.0,28.0,50.0,NO,Local Road,NONE,CITY ST,1076.68657817507,Asphalt,,FIRE,CITYST,CITY-ALL,NO,Unknown,5,258.0,444.92483348248,"LINESTRING (-76.51677484609564 42.44017394199945, -76.51683706834729 42.440123820955215, -76.51687854997039 42.44009177295228, -76.51693950444422 42.440036926375974, -76.51699118853134 42.4399911646665, -76.51702943180787 42.43995465557973, -76.51708876579336 42.43989980798551, -76.51716085450498 42.43982678809456, -76.51727767889508 42.43970817336527, -76.51742185405827 42.43956213239286, -76.51755166425293 42.439425345214346, -76.51762398282062 42.439352325157905, -76.51765552045077 42.439306893704895, -76.51769377706559 42.439256835879846, -76.51772067421739 42.439220492016496, -76.51776264613547 42.439161346028456, -76.5177860706465 42.439125000162754, -76.51780648305122 42.43908882452638, -76.517836641833 42.43903430286772, -76.51786007896564 42.438984578628244, -76.51787725106233 42.43894822917149, -76.51789674321597 42.4389074218814, -76.51792179238986 42.43886661775866, -76.51795286183784 42.43882564600814, -76.51800871660251 42.43877542615315, -76.51814683510997 42.43866093879161, -76.51839081180513 42.43850466292331, -76.51856549443745 42.43840786132579, -76.5186424771287 42.43837109538082, -76.51864333078865 42.43837068802948, -76.51884464088033 42.43827355711522, -76.51905660158832 42.438176088806074, -76.51938808841291 42.43802775001156)",0.5338734822928873,1,0,0,0,1
218,216,ELM ST,,400,400 Blk Elm St.,W VILLAGE PL,CITY LINE,2,Two-way,No sidewalks adjacent to the street,22.0,22.0,50.0,NO,Local Road,NONE,CITY ST,1066.11652947826,Asphalt,,FIRE,CITYST,CITY-ALL,NO,Unknown,5,259.0,439.761394105332,"LINESTRING (-76.52222687892821 42.43671117343401, -76.52238140999089 42.43663709217445, -76.52257343858354 42.43654904001557, -76.52269991062045 42.43649319601249, -76.52272770653578 42.436481033332484, -76.52277306876115 42.43646123913058, -76.52292320515696 42.436395726516224, -76.52300774589149 42.436363184888805, -76.52311033921535 42.43633922798603, -76.5232254213085 42.43632865501143, -76.52348915149815 42.43631610154533, -76.52372810332349 42.43630850781644, -76.52461768301941 42.43628306994354, -76.52521447123777 42.43627515617615, -76.52521551285052 42.43627514229954, -76.52561886795456 42.436251850204705, -76.52603702077828 42.43625068701659)",2.0003409133272037,1,0,0,0,1
219,217,HALLER BLVD,,100-200,100-200 Blk Haller Blvd.,ELM ST. EXT,HOOK PL,2,Two-way,No sidewalks adjacent to the street,24.0,24.0,25.0,NO,Local Road,NONE,CITY ST,1165.01732613969,Asphalt,Vegetation,NO,PARTIAL-1/2TOWN,CITY-ALL,NO,"1) 1934, 2) 1938 BKPG 1) 235-412, 2) 249-63",5,260.0,482.214434355038,"LINESTRING (-76.52603702077828 42.43625068701659, -76.52606276943244 42.437214051495026, -76.52606108247188 42.43728608317759, -76.52610113425327 42.438055480897916, -76.52610502068005 42.43810950677416, -76.52615497658158 42.43944625190946)",2.7355419053354373,1,0,0,0,1
220,218,HOOK PL,,400,400 Blk Hook Pl.,WARREN PL,HALLER BLVD,2,Two-way,Sidewalks adjacent to the south side of the street only,20.0,20.0,50.0,NO,Local Road,NONE,CITY ST,613.180756397702,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1908 BKPG 168-384,5,261.0,252.882921057038,"LINESTRING (-76.52388461133962 42.43950340991687, -76.52615497658158 42.43944625190946)",0.3680394720992288,1,0,0,0,1
221,219,HOOK PL,,300,300 Blk Hook Pl.,TAYLOR PL,WARREN PL,2,Two-way,Sidewalks adjacent to the south side of the street only,20.0,20.0,50.0,NO,Local Road,NONE,CITY ST,863.928214126573,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1908 BKPG 168-384,5,262.0,356.311375648368,"LINESTRING (-76.52070777144276 42.439216704329084, -76.5207094668659 42.4392168475017, -76.52079513183858 42.439224782641396, -76.52112180986623 42.43925651838899, -76.52240005049674 42.43938360439243, -76.52264662437842 42.43940723195722, -76.52388461133962 42.43950340991687)",0.32050885734866613,1,0,0,0,1
222,220,CHESTNUT ST,,400,400 Blk Chestnut St.,ELM ST,HOOK PL,2,Two-way,Sidewalks adjacent to both sides of the street and west side partial,20.0,20.0,0.0,NO,Local Road,NONE,CITY ST,385.495532576756,Asphalt,"Curbed, Concrete",FIRE,CITYST,CITY-ALL,NO,1858 BKPG 69-54,5,265.0,159.520495463778,"LINESTRING (-76.51938808841291 42.43802775001156, -76.51931936827276 42.4382086509217, -76.51924970304617 42.43840773089003, -76.5192178888869 42.438498269155616, -76.51900108032905 42.43904590713107)",0.8758956731624462,1,0,0,0,1
223,221,UNNAMED ROAD,,,Unnamed Road,ELM ST,CHESTNUT ST,1,One-way,No sidewalks adjacent to the street,25.0,25.0,0.0,NO,Local Road,NONE,CITY ST,164.233192446371,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,,5,266.0,67.73191279819,"LINESTRING (-76.51864333078865 42.43837068802948, -76.51924970304617 42.43840773089003)",0.19167466831947857,1,0,0,0,1
224,222,CHESTNUT ST,,100-200,100-200 Blk Chestnut St.,CLIFF PARK BROOK,DRIVEWAY OF #306 CHESTNUT,2,Two-way,No sidewalks adjacent to the street,23.0,23.0,0.0,NO,Local Road,NONE,CITY ST,661.865630702354,Asphalt,,FIRE,CITYST,CITY-ALL,NO,"In part 9-53 to 9-56 BKPG 361-569, 391- 319, 527, 52, 531.",5,267.0,273.892324773594,"LINESTRING (-76.51883062639475 42.439472165235685, -76.51872412365066 42.43973849674746, -76.51854817922808 42.44017425478408, -76.51843348410785 42.440458315344344, -76.51830093624795 42.44077981425593, -76.51820477910192 42.44106480337151, -76.51818009908327 42.44119444780283, -76.51817513961188 42.44122049047182)",0.5891477825860498,1,0,0,0,1
225,223,SUNRISE RD,,200,200 Blk Sunrise Rd.,WESTFIELD DR,TAYLOR PL,2,Two-way,No sidewalks adjacent to the street,30.0,30.0,50.0,NO,Local Road,NONE,CITY ST,692.691375739808,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,"6/17/1970, 6/10/1970 BKPG 489-172, 488-175",5,268.0,286.071270497025,"LINESTRING (-76.51880835318795 42.44362779062733, -76.51880587457268 42.4435603869947, -76.51883462558705 42.44352387288528, -76.5188969675207 42.44347365628911, -76.51898363241183 42.44341384898868, -76.51911433086201 42.44331753600761, -76.51945403696566 42.44308344794569, -76.51960349574132 42.44298234269031, -76.51972723171615 42.44289974559929, -76.51983428150054 42.44283068764315, -76.51994666198344 42.44275717428224, -76.52007893700379 42.44270150749753, -76.52021861871424 42.4426499607782, -76.52036477006118 42.442612138810475, -76.52051553797028 42.44258752468648, -76.52065864807909 42.44258108579769, -76.52079455537728 42.44259745262901)",0.6081649765419977,1,0,0,0,1
226,224,TAYLOR PL,,300,300 Blk Taylor Pl.,CLIFF PARK BROOK,SUNRISE RD,2,Two-way,No sidewalks adjacent to the street,32.0,32.0,50.0,NO,Local Road,NONE,CITY ST,343.319491475338,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,11/10/1971 BKPG 499-339,5,269.0,142.113419694108,"LINESTRING (-76.52082165792463 42.44165589841314, -76.52082126641879 42.44166579422388, -76.52082023279881 42.441691914770736, -76.52081104593205 42.44184969516603, -76.52079521751865 42.44216508627414, -76.52079186367678 42.44227776424588, -76.5207876149828 42.44235888464926, -76.52078732586729 42.44241736753862, -76.52079455537728 42.44259745262901)",0.07271186524843076,1,0,0,0,1
227,225,TAYLOR PL,,300,300 Blk Taylor Pl.,JUST NORTH OF #110 HOUSE,CLIFF PARK BROOK,2,Two-way,No sidewalks adjacent to the street,32.0,32.0,0.0,NO,Local Road,NONE,CITY ST,581.686714273416,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,"6/12/1969 BKPG 481-726, 481-728.",5,270.0,240.757036548266,"LINESTRING (-76.52056003486723 42.44008003123746, -76.52055948698518 42.440083386331594, -76.52055202334603 42.44013757811666, -76.52054317502599 42.44018713893245, -76.52054101393968 42.44026380044568, -76.5205423640362 42.44030427658235, -76.52054994170535 42.44036722385505, -76.52057184534291 42.44046156410316, -76.5205870694281 42.440519884448015, -76.52062400125612 42.44063635762109, -76.52064163445868 42.4407032833795, -76.52064176281581 42.44070376960821, -76.52070473994614 42.440941511215115, -76.5207192925922 42.440977364348, -76.5207428350428 42.44105352582349, -76.52075321841906 42.44108954773069, -76.52076843395139 42.44115678634687, -76.5207850342236 42.44122865682505, -76.52079240364475 42.441269136236194, -76.52080622090809 42.44134546434466, -76.52081425442094 42.44141733014311, -76.52082182346095 42.441489365842344, -76.52082268267608 42.44155676857306, -76.52082307861536 42.44162434210605, -76.52082165792463 42.44165589841314)",0.5253690296472089,1,0,0,0,1
228,226,WESTFIELD DR,,100,100 Blk Westfield Dr.,SUNRISE RD,HOPPER PL,2,Two-way,No sidewalks adjacent to the street,24.0,24.0,50.0,NO,Local Road,NONE,CITY ST,247.933208020164,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,1951 BKPG 342-83 & 86,5,271.0,102.618508864873,"LINESTRING (-76.51880835318795 42.44362779062733, -76.51882636903535 42.44367256333525, -76.5188367425961 42.443717504596705, -76.51884294928026 42.44376244171202, -76.51885004406999 42.44384339734771, -76.51885206876412 42.44390188241863, -76.51885682474617 42.44400547370235, -76.5188674874269 42.44422140595735, -76.51885355177406 42.44426221650016, -76.51881785827497 42.44429409739625)",0.23392627695577897,1,0,0,0,1
