OBJECTID,NAME,ALTNAME,BLOCK,Location_n,Fromstreet,ToStreet,TOTALANES,DIRECT1,SIDEWLK1,WIDTH_C_C,WIDTHAPPRO,ROW_WIDTH,StateRte,FCLASS2014,STATERESP,OWNERSHIP,lengthinv,SURFACETXT,SHOULDTEXT,RESPONSEROUTE,OWNTYPE,MGTRESPONB,STATEROUTEYN,DeedyrBkPg,SID,RINNUM,SHAPE__Length
221,UNNAMED ROAD, , ,Unnamed Road,ELM ST,CHESTNUT ST,1,One-way,No sidewalks adjacent to the street,25,25,0,NO,Local Road,NONE,CITY ST,164.233192446371,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,,5,266,67.73191279819
222,CHESTNUT ST, ,100-200,100-200 Blk Chestnut St.,CLIFF PARK BROOK,DRIVEWAY OF #306 CHESTNUT,2,Two-way,No sidewalks adjacent to the street,23,23,0,NO,Local Road,NONE,CITY ST,661.865630702354,Asphalt,,FIRE,CITYST,CITY-ALL,NO,"In part 9-53 to 9-56 BKPG 361-569, 391- 319, 527, 52, 531.",5,267,273.892324773594
223,SUNRISE RD, ,200,200 Blk Sunrise Rd.,WESTFIELD DR,TAYLOR PL,2,Two-way,No sidewalks adjacent to the street,30,30,50,NO,Local Road,NONE,CITY ST,692.691375739808,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,"6/17/1970, 6/10/1970 BKPG 489-172, 488-175",5,268,286.071270497025
224,TAYLOR PL, ,300,300 Blk Taylor Pl.,CLIFF PARK BROOK,SUNRISE RD,2,Two-way,No sidewalks adjacent to the street,32,32,50,NO,Local Road,NONE,CITY ST,343.319491475338,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,11/10/1971 BKPG 499-339,5,269,142.113419694108
225,TAYLOR PL, ,300,300 Blk Taylor Pl.,JUST NORTH OF #110 HOUSE,CLIFF PARK BROOK,2,Two-way,No sidewalks adjacent to the street,32,32,0,NO,Local Road,NONE,CITY ST,581.686714273416,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,"6/12/1969 BKPG 481-726, 481-728.",5,270,240.757036548266
226,WESTFIELD DR, ,100,100 Blk Westfield Dr.,SUNRISE RD,HOPPER PL,2,Two-way,No sidewalks adjacent to the street,24,24,50,NO,Local Road,NONE,CITY ST,247.933208020164,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,1951 BKPG 342-83 & 86,5,271,102.618508864873
227,TAYLOR PL, ,400,400 Blk Taylor Pl.,SUNRISE RD,END,2,Two-way,No sidewalks adjacent to the street,28,28,50,NO,Local Road,NONE,CITY ST,333.319802198677,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,6/12/1970 BKPG 488-175,5,272,137.974896611724
228,HOPPER PL, ,100,100 Blk Hopper Pl.,HECTOR ST,WESTFIELD DR,2,Two-way,No sidewalks adjacent to the street,21.5,21.5,40,NO,Local Road,NONE,CITY ST,540.440218267072,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,1951 BKPG 342-83 and 86,5,273,222.925332410472
229,WARREN PL, ,200,200 Blk Warren Pl.,HOOK PL,CLIFF PARK RD,2,Two-way,No sidewalks adjacent to the street,32,32,50,NO,Local Road,NONE,CITY ST,858.78727551151,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,"6/11/70, 2/27/54, 6/12/53 BKPG 488-177, 394-343, 359-148.",5,274,355.474612367577
230,WARREN PL, ,300,300 Blk Warren Pl.,CLIFF PARK RD,SUNRISE RD,2,Two-way,No sidewalks adjacent to the street,32,32,50,NO,Local Road,NONE,CITY ST,727.05038856376,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,"6/11/70, 2/27/54, 6/12/53 BKPG 488-177, 394-343, 359-148.",5,275,300.934062256852
231,RICHARD PL, ,200,200 Blk Richard Pl.,CLIFF PARK RD,END,2,Two-way,No sidewalks adjacent to the street,24,24,50,NO,Local Road,NONE,CITY ST,354.412404867475,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,1957 BKPG 394-346,5,276,146.702589714886
232,RICHARD PL, ,300,300 Blk Richard Pl.,CLIFF PARK RD,SUNRISE RD,2,Two-way,No sidewalks adjacent to the street,26,26,50,NO,Local Road,NONE,CITY ST,876.854332061136,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,6/11/70 BKPG 1188-488-177,5,277,362.88077487907
233,CLIFF PARK RD, ,200,200 Blk Cliff Park Rd.,TAYLOR PL,WARREN PL,2,Two-way,No sidewalks adjacent to the street,28,28,50,NO,Local Road,NONE,CITY ST,1131.15297748869,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,"6/12/1970 BKPG 481-723, 481-726",5,278,466.978679590969
234,RICHARD PL, ,400,400 Blk Richard Pl.,DRIVEWAY #408,WARREN PL,2,Two-way,No sidewalks adjacent to the street,26,26,50,NO,Local Road,NONE,CITY ST,500.617935277089,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,1/27/1972 BKPG 500-529 (McPherson),5,279,207.148877697555
235,WARREN PL, ,400-500,400-500 Blk Warren Pl.,SUNRISE RD,RICHARD PL,2,Two-way,No sidewalks adjacent to the street,32,32,50,NO,Local Road,NONE,CITY ST,748.936620603483,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,1/27/1972 BKPG 500-529,5,280,309.836488302467
236,WARREN PL, ,500,500 Blk Warren Pl.,RICHARD PL,LAMBETH WAY,2,Two-way,No sidewalks adjacent to the street,32,32,50,NO,Local Road,NONE,CITY ST,436.727008422404,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,1/27/1972 BKPG 500-529,5,281,180.701586002623
237,WARREN PL, ,600,600 Blk Warren Pl.,LAMBETH WAY,HECTOR ST,2,Two-way,No sidewalks adjacent to the street,32,32,50,NO,Local Road,NONE,CITY ST,759.389765098613,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,1/27/1972 BKPG 500-529,5,282,314.271633046447
238,WESTWOOD KNOLL, ,000-200,<100-200 Blk Westwood Knoll,N TAYLOR PL,END,2,Two-way,No sidewalks adjacent to the street,28,28,50,NO,Local Road,NONE,CITY ST,1070.15656073162,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,,5,284,442.533923001623
239,N TAYLOR PL, ,500,500 Blk N Taylor Pl.,WESTWOOD KNOLL,END,2,Two-way,No sidewalks adjacent to the street,32,32,55,NO,Local Road,NONE,CITY ST,419.352713781433,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,Not known BKPG Not known,5,285,173.587995231127
240,GARDEN AVE, ,100,100 Blk Garden Ave.,CAMPUS RD,TOWER RD,2,Two-way,Sidewalks adjacent to both sides of the street,0,0,0,NO,NA,NONE,CU,852.960496244401,,,NO,CU,NONE,NO,,0,,353.098990581961
241,SAGE AVE, ,,Sage Ave.,CAMPUS RD,END,2,Two-way,Sidewalks adjacent to both sides of the street,0,0,0,NO,NA,NONE,CU,487.582890425115,,,NO,CU,NONE,NO,,0,,201.79967195134
242,HOLLISTER DR,SNEE HALL DRIVEWAY,100,100 Blk Hollister Dr,COLLEGE AVE,END,0,Two-way,Sidewalks adjacent to the north side of the street only and partial,0,0,0,NO,NA,NONE,CU,377.508613003321,,,NO,CU,NONE,NO,,0,,155.738762889565
243,COLLEGE AVE, ,,400 Blk College Ave.,CASCADILLA CREEK,CASCADILLA CREEK,2,Two-way,Sidewalks adjacent to both sides of the street,0,0,0,NO,Local Road,NONE,CU,211.679443393613,,,FIRE,CU,NONE,NO,,0,,87.6159790903571
244,COLLEGE AVE, ,500,500 Blk College Ave.,HOLLISTER DR,CAMPUS RD,2,Two-way,Sidewalks adjacent to both sides of the street,0,0,0,NO,NA,NONE,CU,664.682205276399,,,FIRE,CU,NONE,NO,,0,,275.117900181235
245,SAGE PL, ,100,100 Blk Sage Pl.,E STATE ST,END,0,,No Information/Unknown,0,0,0,NO,NA,NONE,CU,305.293905473557,,,NO,CU,NONE,NO,,0,,126.36778450883
246,SAGE PL, ,100,100 Blk Sage Pl.,E S ENECA ST,END,2,,No Information/Unknown,0,0,0,NO,NA,NONE,CU,185.468451397086,,,NO,CU,NONE,NO,,0,,76.7702335356912
247,N QUARRY ST, ,100,100 Blk N Quarry St.,E STATE ST,E SENECA ST,2,Two-way,Sidewalks adjacent to both sides of the street and west side partial,24.3,24.3,66,NO,Local Road,NONE,CITY ST,738.544673407992,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1887 (Dewitt) BKPG 131-117,2,295,305.700715819743
248,COOK ST, ,100,100 Blk Cook St.,BLAIR ST,EDDY ST,2,Two-way,Sidewalks adjacent to both sides of the street,29.9,29.9,66,NO,Local Road,NONE,CITY ST,392.858874769068,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1908 BKPG 169-89,2,296,162.021746016744
249,BLAIR ST, ,100,100 Blk Blair St.,MITCHELL AVE,COOK ST,2,Two-way,Sidewalks adjacent to both sides of the street,29.9,29.9,60,NO,Local Road,NONE,CITY ST,784.325439800742,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1913 BKPG 182-69,2,297,324.644913146297
250,BOOL ST, ,100,100 Blk Bool St.,LINDEN AVE,COLLEGE AVE,2,Two-way,Sidewalks adjacent to both sides of the street,17.8,17.8,35,NO,Local Road,NONE,CITY ST,266.939974972902,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,Unknown,2,298,110.08875654708
251,CATHERINE ST, ,100,100 Blk Catherine St.,COLLEGE AVE,EDDY ST,2,Two-way,Sidewalks adjacent to both sides of the street,14.4,14.4,25,NO,Local Road,NONE,CITY ST,599.559624970971,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1904 BKPG 158-365,2,299,247.268495339073
252,DELAWARE AVE, ,100,100 Blk Delaware Ave.,MITCHELL ST,OXFORD PL,2,Two-way,Sidewalks adjacent to both sides of the street,26.3,26.3,50,NO,Local Road,NONE,CITY ST,571.86634627628,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1912 BKPG 178-530,2,301,236.703436970484
253,OXFORD PL, ,100,100 Blk Oxford Pl.,BRYANT AVE,DELAWARE AVE,2,Two-way,Sidewalks adjacent to both sides of the street,24.25,24.25,50,NO,Local Road,NONE,CITY ST,437.854483430728,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1912 BKPG 178-530,2,302,180.641473565318
254,IRVING PL, ,100,100 Blk Irving Pl.,IRVING PL. (BRANCH),DELAWARE AVE,2,Two-way,Sidewalks adjacent to both sides of the street,24.1,24.1,50,NO,Local Road,NONE,CITY ST,579.52389508008,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1912 BKPG 178-530,2,303,239.061058393415
255,BRYANT AVE, ,200,200 Blk Bryant Ave.,ITHACA RD,DELAWARE,2,Two-way,Sidewalks adjacent to both sides of the street and south side partial,26,26,60,NO,Local Road,NONE,CITY ST,1121.8656396059,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1912 BKPG 178-530,2,304,463.256115161074
256,HARVARD PL, ,100,100 Blk Harvard Pl.,ELMWOOD AVE,BRYANT AVE,2,Two-way,Sidewalks adjacent to both sides of the street,24.35,24.35,50,NO,Local Road,NONE,CITY ST,411.027431221681,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1912 BKPG 178-53?,2,306,169.527206415651
257,LINDEN AVE, ,200,200 Blk Linden Ave.,BOOL ST,DRYDEN RD,1,One-way,Sidewalks adjacent to both sides of the street,22,22,50,NO,Local Road,NONE,CITY ST,838.644607125556,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1895 BKPG Various,2,307,347.13967345856
258,BRYANT AVE, ,300,300 Blk Bryant Ave.,DELAWARE AVE,DRYDEN RD,2,Two-way,Sidewalks adjacent to both sides of the street,26,26,60,NO,Local Road,NONE,CITY ST,342.272909094381,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1912 BKPG 178-530,2,308,141.623899940975
259,SISSON PL, ,000,<100 Blk Sisson Pl,TRIPHAMMER RD,NORTHCROSS RD,2,Two-way,Sidewalks adjacent to the south side of the street and partial,0,0,0,NO,NA,NONE,CU,644.890702369249,,,NO,CU,NONE,NO,,0,,266.114974466407
260,TRIPHAMMER RD, ,100,100 Blk Triphammer Rd.,SISSON PL,JESSUP RD,2,Two-way,Sidewalks adjacent to both sides of the street,27.1,27.1,50,NO,Minor Arterial,NONE,CITY ST,443.738691222191,Asphalt,"Curbed, Granite",NO,CITYST,CITY-ALL,NO,1903 BKPG 159-200,1,310,183.661641491667
261,TRIPHAMMER RD, ,100,100 Blk Triphammer Rd.,WAIT AVE,SISSON PL,2,Two-way,Sidewalks adjacent to both sides of the street,24.2,24.2,50,NO,Minor Arterial,NONE,CITY ST,303.674057922227,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1903 BKPG 159-200,1,311,125.537466251448
262,DEARBORN PL, ,200,200 Blk Dearborn Pl.,TRIPHAMMER RD,KELVIN PL,1,One-way,Sidewalks adjacent to both sides of the street,20,20,40,NO,Local Road,NONE,CITY ST,453.540445998421,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1903 BKPG 159-200,1,312,187.136860871334
263,BROOK LA, ,000,<100 Blk Brook La.,VILLAGE OF CAYUGA HEIGHTS LINE,WYCKOFF AVE,2,Two-way,Sidewalks adjacent to both sides of the street,16,16,30,NO,Local Road,NONE,CITY ST,109.897962584707,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,1903 BKPG 159-200,1,313,45.4820289493881
264,KELVIN PL, ,100,100 Blk Kelvin Pl.,WAIT AVE,DEARBORN PL,2,Two-way,Sidewalks adjacent to both sides of the street,19,19,40,NO,Local Road,NONE,CITY ST,537.17328299672,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1903 BKPG 159-200,1,314,222.274853201765
265,WAIT AVE,WAITE AVE,200,200 Blk Wait Ave.,KELVIN PL,WYCKOFF AVE,2,Two-way,Sidewalks adjacent to both sides of the street,21.6,21.6,50,NO,Local Road,NONE,CITY ST,412.144254540582,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1903 BKPG 159-200,1,315,170.035590249644
266,WAIT AVE,WAITE AVE,200,200 Blk Wait Ave.,TRIPHAMMER RD,KELVIN PL,2,Two-way,Sidewalks adjacent to both sides of the street,21.6,21.6,50,NO,Local Road,NONE,CITY ST,226.643706579915,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1903 BKPG 159-200,1,316,93.5160445592989
267,DICKSON LOADING DOCK, ,,Dickson Loading Dock,SISSON PL,END,0,Two-way,No Information/Unknown,0,0,0,NO,NA,NONE,CU,439.141106884867,,,NO,CU,NONE,NO,,0,,181.661922232274
268,WAIT AVE,WAITE AVE,300,300 Blk Wait Ave.,THURSTON AVE,TRIPHAMMER RD,2,Two-way,Sidewalks adjacent to both sides of the street,22.8,22.8,50,NO,Minor Arterial,NONE,CITY ST,620.724408117496,Surface Treated,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1903 BKPG 159-200,1,318,256.700687871903
269,THURSTON AVE, ,500,500 Blk Thurston Ave.,WYCKOFF AVE,WAIT AVE,2,Two-way,Sidewalks adjacent to both sides of the street,38,38,66,NO,Local Road,NONE,CITY ST,766.62533152743,Asphalt,"Curbed, Concrete",FIRE,CITYST,CITY-ALL,NO,1903 BKPG 159-200,1,319,316.437017156763
270,NORTHCROSS RD, ,,Northcross Rd,SISSON PL,CITY LINE,2,Two-way,No Information/Unknown,0,0,0,NO,NA,NONE,CU,358.323737468531,,,NO,CU,NONE,NO,,0,,148.332838935517
271,RPCC LOADING DOCK, ,000,<100 Blk Sisson Pl,NORTHCROSS RD,END,2,Two-way,No Information/Unknown,0,0,0,NO,NA,NONE,CU,368.02076842468,,,NO,CU,NONE,NO,,0,,151.841036858211
272,DONLON HALL LOOP, ,,Donlon Hall Loop,SISSON PL,RPCC LOADING DOCK,0,Two-way,No Information/Unknown,0,0,0,NO,NA,NONE,CU,360.744416947319,,,NO,CU,NONE,NO,,0,,149.0485546991
273,PROGRAM HOUSE DR, ,100,100 Blk Program House Dr.,JESSUP RD,END,0,,No Information/Unknown,0,0,0,NO,NA,NONE,CU,258.362672567667,,,NO,CU,NONE,NO,,0,,106.859155963335
274,THURSTON AVE, ,,600 Blk Thurston Ave.,FALL CREEK,FALL CREEK,2,Two-way,Sidewalks adjacent to both sides of the street,0,0,0,NO,Minor Arterial,NONE,CITY OWNED,292.397786171433,,,FIRE,CITYBRG,CITY BRIDGE,NO,,0,328,120.857935731023
275,CRADIT FARM DR, ,100,100 Blk Cradit Farm Dr.,THURSTON AVE,CITY LINE,2,Two-way,Sidewalks adjacent to both sides of the street,0,0,0,NO,NA,NONE,CU,1705.19716717853,,,NO,CU,NONE,NO,,0,,703.595707427129
276,FALL CREEK DR, ,300,300 Blk Fall Creek Dr.,THURSTON AVE,HIGHLAND AVE,2,Two-way,Sidewalks adjacent to the north side of the street only and partial,30,30,0,NO,Local Road,NONE,CITY ST,1033.58043545095,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,1903 BKPG 159-200,1,331,426.869385810237
277,ROBERTS PL, ,100,100 Blk Roberts Pl.,THURSTON AVE,HIGHLAND AVE,2,Two-way,Sidewalks adjacent to the north side of the street only and partial,19.4,19.4,40,NO,Local Road,NONE,CITY ST,637.482313992423,Asphalt,,NO,CITYST,CITY-ALL,NO,1903 BKPG 159-200,1,332,263.329301100816
278,THURSTON AVE, ,100,100 Blk Thurston Ave.,BARTON PL,STEWART AVE,2,Two-way,Sidewalks adjacent to the south side of the street only,25,25,50,NO,Local Road,NONE,CITY ST,808.22433284794,Asphalt,"Curbed, Concrete",FIRE,CITYST,CITY-ALL,NO,1903 BKPG 159-200,1,333,333.690337016388
279,THE KNOLL, ,100,100 Blk The Knoll,BARTON PL,END,2,Two-way,Sidewalks adjacent to the north side of the street only,15,15,40,NO,Local Road,NONE,CITY ST,450.013465372173,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,"1903, 1904, 1904 BKPG 159-200, 158-388, 104-49",1,334,185.711704348622
280,HIGHLAND AVE, ,100,100 Blk Highland Ave.,THURSTON AVE,HEIGHTS CT,2,Two-way,Sidewalks adjacent to both sides of the street,26,26,50,NO,Local Road,NONE,CITY ST,579.772354222274,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,"1)1903, 2)1905 BKPG 1)159-200, 2)158-549",1,335,239.803932176078
281,HIGHLAND AVE, ,100,100 Blk Highland Ave.,FALL CREEK DR,THURSTON AVE,2,Two-way,Sidewalks adjacent to both sides of the street,18.6,18.6,0,NO,Local Road,NONE,CITY ST,358.192603497508,Asphalt,,NO,CITYST,CITY-ALL,NO,"1)1903, 2)1905 BKPG 1)159-200, 2)158-549",1,336,148.254618218627
282,STEWART AVE, ,900,900 Blk Stewart Ave.,FALL CREEK DR,THURSTON AVE,2,Two-way,Sidewalks adjacent to the west side of the street only,26,26,0,NO,Collector,NONE,CITY ST,883.339036852941,Asphalt,"Curbed, Concrete",FIRE,CITYST,CITY-ALL,NO,"1903, various others BKPG 159-200, various",1,337,365.336927634722
283,BARTON PL, ,100,100 Blk Barton Pl.,FALL CREEK DR,THURSTON AVE,2,Two-way,Sidewalks adjacent to both sides of the street,23,23,40,NO,Local Road,NONE,CITY ST,364.585089807966,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1903 BKPG 159-200,1,338,150.933822991987
284,UNIVERSITY AVE, ,800,800 Blk University Ave.,CHI PSI,CENTRAL AVE,2,Two-way,Sidewalks adjacent to the west side of the street only,0,0,0,NO,Minor Arterial,NONE,CU,429.670249891924,,,FIRE,CU,NONE,NO,,0,,177.554636529901
285,UNIVERSITY AVE, ,900,900 Blk University Ave.,CENTRAL AVE,EAST AVE,2,Two-way,No Information/Unknown,0,0,0,NO,Minor Arterial,NONE,CU,1062.3821206558,,,FIRE,CU,NONE,NO,,0,,438.245349330088
286,MCGRAW PL, ,100,100 Blk McGraw Pl.,UNIVERSITY AVE,END,2,Two-way,Sidewalks adjacent to the west side of the street only,0,0,0,NO,NA,NONE,CU,960.025126244484,,,NO,CU,NONE,NO,,0,,396.78989831415
287,CHI PSI DRIVEWAY, ,,Chi Psi Dr.,UNIVERSITY AVE,END,2,Two-way,No sidewalks adjacent to the street,0,0,0,NO,NA,NONE,CU,450.25561204721,,,NO,CU,NONE,NO,,0,,186.002847512147
288,WEST AVE, ,300,300 Blk West Ave.,CAMPUS RD,UNIVERSITY AVE,2,Two-way,Sidewalks adjacent to both sides of the street and east side partial,0,0,0,NO,NA,NONE,CU,153.692205546539,,,NO,CU,NONE,NO,,0,,504.998933924071
289,UNIVERSITY AVE, ,800,800 Blk University Ave.,MCGRAW PL,CHI PSI DRIVEWAY,2,Two-way,Sidewalks adjacent to the west side of the street only,24.2,24.2,66,NO,Minor Arterial,NONE,CITY ST,424.10780415924,Asphalt,"Curbed, Concrete",FIRE,TO BE CONFIRMED,CITY-ALL,NO,Unknown,1,345,175.414699027718
290,UNIVERSITY AVE, ,700,700 Blk University Ave.,STEWART AVE,MCGRAW PL,2,Two-way,Sidewalks adjacent to both sides of the street,30.4,30.4,66,NO,Minor Arterial,NONE,CITY ST,740.706503026434,Asphalt,"Curbed, Granite",FIRE,CITYST,CITY-ALL,NO,Unknown,1,347,305.614944779581
291,WEST AVE WB LANE, ,300,300 Blk West Ave.,WEST AVE,,2,Two-way,No sidewalks adjacent to the street,0,0,0,NO,NA,NONE,CU,166.542828200039,,,NO,CU,NONE,NO,,0,,68.7218509529174
292,UNIVERSITY AVE, ,600,600 Blk University Ave.,LAKE ST,STEWART AVE,2,Two-way,Sidewalks adjacent to both sides of the street,30.8,30.8,66,NO,Minor Arterial,NONE,CITY ST,504.928717722267,Asphalt,"Curbed, Granite",FIRE,CITYST,CITY-ALL,NO,Unknown,1,349,208.364770347347
293,LAKE ST, ,400,200 Blk Lake St.,E LINCOLN ST,WEST END OF APTS,2,Two-way,Sidewalks adjacent to the west side of the street only,28,28,66,NO,Minor Arterial,NONE,CITY ST,514.594711758322,Asphalt,"Curbed, Granite",FIRE,CITYST,CITY-ALL,NO,Unknown,1,350,212.862649358245
294,STEWART AVE, ,600,600 Blk Stewart Ave.,CORNELL AVE,UNIVERSITY AVE,2,Two-way,Sidewalks adjacent to both sides of the street,36,36,0,NO,Collector,NONE,CITY ST,1125.22116452952,Asphalt,,FIRE,CITYST,CITY-ALL,NO,1888 BKPG 132-383,1,352,465.805679481426
295,UNIVERSITY AVE, ,400-500,400-500 Blk University Ave.,CORNELL AVE,LAKE ST,2,Two-way,Sidewalks adjacent to the west side of the street only,30.4,30.4,66,NO,Minor Arterial,NONE,CITY ST,934.945949566924,Asphalt,,FIRE,CITYST,CITY-ALL,NO,Unknown,1,353,386.914085516504
296,N CAYUGA ST, ,1300,1300 Blk N Cayuga St.,E YORK ST,BRIDGE,2,Two-way,Sidewalks adjacent to both sides of the street,34,34,80,NO,Minor Arterial,NONE,CITY ST,272.15512295733,Asphalt,"Curbed, Concrete",FIRE,CITYST,CITY-ALL,NO,Unknown,1,354,112.675914795977
297,N CAYUGA ST, ,,1300 Blk N Cayuga St.,FALL CREEK,FALL CREEK,2,Two-way,Sidewalks adjacent to both sides of the street,0,0,0,NO,Minor Arterial,NONE,CITY ST,150.394724096344,Asphalt,None,FIRE,CITYBRG,CITY BRIDGE,NO,,1,355,62.2660317618283
298,N CAYUGA ST, ,1100,1100 Blk N Cayuga St.,E LINCOLN ST,E FALLS ST,2,Two-way,Sidewalks adjacent to both sides of the street,36,36,80,NO,Minor Arterial,NONE,CITY ST,265.886224546098,Asphalt,"Curbed, Concrete",FIRE,CITYST,CITY-ALL,NO,Unknown,1,356,110.07802164029
299,N TIOGA ST, ,1200,1200 Blk N Tioga St.,E FALLS ST,E YORK ST,2,Two-way,Sidewalks adjacent to the west side of the street only,32,32,66,NO,Local Road,NONE,CITY ST,263.603254833149,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,Unknown,1,357,109.133769705862
300,N TIOGA ST, ,1100,1100 Blk N Tioga St.,E LINCOLN ST,E FALLS ST,2,Two-way,Sidewalks adjacent to both sides of the street,36.2,36.2,66,NO,Local Road,NONE,CITY ST,267.546237205868,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1839 (part) BKPG M.M.-1,1,358,110.765675016888
301,N TIOGA ST, ,1000,1000 Blk N Tioga St.,QUEEN ST,E LINCOLN ST,2,Two-way,Sidewalks adjacent to both sides of the street,37,37,66,NO,Collector,NONE,CITY ST,264.474416783094,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,See #280,1,359,109.492454443389
302,N AURORA ST, ,1100,1100 Blk N Aurora St.,E LINCOLN ST,E FALLS ST,2,Two-way,Sidewalks adjacent to both sides of the street,30,30,66,NO,Local Road,NONE,CITY ST,262.591705284243,Asphalt,"Curbed, Concrete",FIRE,CITYST,CITY-ALL,NO,1887 (Dewitt) BKPG 131-117,1,360,108.714379159742
303,N AURORA ST, ,1000,1000 Blk N Aurora St.,QUEEN ST,E LINCOLN ST,2,Two-way,Sidewalks adjacent to both sides of the street,30,30,66,NO,Minor Arterial,NONE,CITY ST,263.679682189431,Asphalt,"Curbed, Granite",FIRE,CITYST,CITY-ALL,NO,1887 (Dewitt) BKPG 131-117,1,361,109.163359826894
304,E STATE ST / M.L.K. JR ST,MARTIN LUTHER KING JR ST/79,1000,1000 Blk E State St.,BRIDGE ST,WATER ST,2,Two-way,Sidewalks adjacent to both sides of the street,26,26,50,YES,Minor Arterial, ,CITY ST,858.091614511469,Asphalt,,FIRE,CITYST,NYSRteCityPaves,YES,Unknown,2,362,354.3385034945
305,WOODCREST AVE, ,000,<100 Blk Woodcrest Ave.,EASTWOOD AVE,E STATE ST,2,Two-way,No sidewalks adjacent to the street,26,26,50,NO,Local Road,NONE,CITY ST,361.708300516028,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,Part 1937 BKPG 244-222,2,363,149.301905160525
306,W SENECA ST, ,1000,1000 Blk W Seneca St.,W STATE ST,END,2,Two-way,Sidewalks adjacent to both sides of the street,28,28,66,NO,Local Road,NONE,CITY ST,441.987172614934,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1887 (Dewitt) BKPG 131-117,5,364,182.310281506623
307,CECIL A MALONE DR,WAS W CLINTON ST,200,200 Blk Cecil A Malone Dr.,CHERRY ST,BRIDGE EAST OF NATES,2,Two-way,No sidewalks adjacent to the street,30,30,0,NO,Local Road,NONE,CITY ST,862.163956531384,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,,4,365,355.54969807316
308,CECIL A MALONE DR,WAS W CLINTON ST,,100-200 Blk Cecil A Malone Dr.,CAYUGA INLET TRIBUTARY,CAYUGA INLET TRIBUTARY,2,Two-way,Sidewalks adjacent to the west side of the street only,0,0,0,NO,Local Road,NONE,CITY OWNED,52.5441682891724,,,NO,CITYBRG,CITY BRIDGE,NO,,4,368,21.6688418424506
309,CECIL A MALONE DR,WAS W CLINTON ST,100,100 Blk Cecil A Malone Dr.,WEGMANS DRIVEWAY,CAYUGA INLET TRIBUTARY BRIDGE,2,Two-way,Sidewalks adjacent to both sides of the street and north side partial,34,34,0,NO,Local Road,NONE,CITY ST,893.760764539197,Asphalt,"Curbed, Granite",NO,CITYST,CITY-ALL,NO,,4,369,368.728159783466
